"","Model","MAE","MAPE","RMSE"
"447","Stacked Model",41.47,0.0237482844266615,54.13
"538","Stacked Model w/ Polynomial",42.77,0.0244736221330008,55.79
"139","Linear Model",245.15,0.143319416820506,344.56
"243","Linear w/ lag",46.12,0.026121135983939,122.5
"348","ARIMA",102.83,0.0603673708965135,220.31
"448","Stacked Model",37.38,0.0224772784734789,50.01
"539","Stacked Model w/ Polynomial",39.15,0.023425195674404,52.01
"140","Linear Model",248.9,0.146226299227762,351.84
"244","Linear w/ lag",38.85,0.0221219718779675,74.55
"349","ARIMA",114.3,0.0676818393699998,230.77
"449","Stacked Model",38.1,0.0225134163645502,50.47
"540","Stacked Model w/ Polynomial",40.07,0.0236508767145424,53.28
"141","Linear Model",250.07,0.15055115214714,350.26
"245","Linear w/ lag",45.7,0.0249257603037159,135.59
"350","ARIMA",111.14,0.0641332335217267,227.03
"450","Stacked Model",42.46,0.0255105872037783,53.46
"541","Stacked Model w/ Polynomial",43.33,0.0259211008264632,55.48
"142","Linear Model",252.32,0.145341688433544,351.83
"246","Linear w/ lag",36.85,0.0207372787584231,91.85
"351","ARIMA",105.89,0.0626033502124457,220.16
"451","Stacked Model",37.57,0.0227487592600654,47.73
"542","Stacked Model w/ Polynomial",39.45,0.0239210653460346,50.08
"143","Linear Model",240.76,0.143016041239975,344.12
"247","Linear w/ lag",43.08,0.0236742402689011,109.28
"352","ARIMA",108.78,0.0650172680525496,227.93
"452","Stacked Model",46.09,0.0274039161796268,59.99
"543","Stacked Model w/ Polynomial",46.89,0.0277874124974036,61.89
"144","Linear Model",242.15,0.141894502518146,343.74
"248","Linear w/ lag",39.64,0.0223605141313372,100.24
"353","ARIMA",104.68,0.0619663536090786,222.63
"453","Stacked Model",39.75,0.0240409318771287,51.2
"544","Stacked Model w/ Polynomial",40.99,0.0246237437145961,53.4
"145","Linear Model",248.88,0.143774162504071,356.68
"249","Linear w/ lag",51.37,0.0280682962626632,155.04
"354","ARIMA",112.07,0.0651200665381203,225.25
"454","Stacked Model",39.58,0.0233205807641043,50.66
